,,,"Ontario [Province]",,,,,,"Canada [Country]"
"Topic","Characteristics","Note","Total","Flag_Total","Male","Flag_Male","Female","Flag_Female","Total","Flag_Total","Male","Flag_Male","Female","Flag_Female"
"Mother tongue","      Non-Aboriginal languages",, 3531160,, 1679300,, 1851865,, 7125365,, 3406425,, 3718945,
"Mother tongue","        Afro-Asiatic languages",,  253830,,  127720,,  126110,,  575365,,  298060,,  277300,
"Mother tongue","          Berber languages",,     725,,     405,,     320,,   22135,,   11865,,   10270,
"Mother tongue","            Kabyle",,     425,,     225,,     200,,   13150,,    6995,,    6155,
"Mother tongue","            Berber languages; n.i.e.",,     305,,     180,,     120,,    8985,,    4865,,    4115,
"Mother tongue","          Cushitic languages",,   24605,,   10730,,   13870,,   42885,,   20095,,   22790,
"Mother tongue","            Bilen",,     250,,     140,,     110,,     805,,     455,,     350,
"Mother tongue","            Oromo",,    1445,,     720,,     730,,    4960,,    2560,,    2400,
"Mother tongue","            Somali",,   22680,,    9755,,   12925,,   36755,,   16895,,   19865,
"Mother tongue","            Cushitic languages; n.i.e.",,     225,,     115,,     110,,     365,,     195,,     170,
"Mother tongue","          Semitic languages",,  227985,,  116320,,  111665,,  509190,,  265465,,  243725,
"Mother tongue","            Amharic",,   10720,,    4960,,    5760,,   22465,,   10720,,   11745,
"Mother tongue","            Arabic",,  171370,,   88400,,   82965,,  419890,,  220785,,  199105,
"Mother tongue","            Assyrian Neo-Aramaic",,   14555,,    7135,,    7420,,   16070,,    7910,,    8160,
"Mother tongue","            Chaldean Neo-Aramaic",,    4795,,    2365,,    2425,,    5545,,    2780,,    2770,
"Mother tongue","            Harari",,    1030,,     485,,     545,,    1320,,     635,,     685,
"Mother tongue","            Hebrew",,   11575,,    6220,,    5350,,   19530,,   10480,,    9045,
"Mother tongue","            Maltese",,    5175,,    2575,,    2600,,    5565,,    2765,,    2800,
"Mother tongue","            Tigrigna",,    7345,,    3470,,    3870,,   16650,,    8310,,    8340,
"Mother tongue","            Semitic languages; n.i.e.",,    1435,,     705,,     730,,    2155,,    1085,,    1070,
"Mother tongue","          Afro-Asiatic languages; n.i.e.",,     520,,     265,,     250,,    1155,,     635,,     520,
"Mother tongue","        Austro-Asiatic languages",,   78125,,   35880,,   42240,,  176725,,   81810,,   94920,
"Mother tongue","          Khmer (Cambodian)",,    7355,,    3330,,    4020,,   20130,,    9270,,   10860,
"Mother tongue","          Vietnamese",,   70690,,   32520,,   38165,,  156425,,   72470,,   83955,
"Mother tongue","          Austro-Asiatic languages; n.i.e",,      85,,      30,,      50,,     170,,      65,,     100,
"Mother tongue","        Austronesian languages",,  194380,,   76060,,  118315,,  511480,,  211580,,  299900,
"Mother tongue","          Bikol",,     595,,     260,,     330,,    1790,,     790,,    1000,
"Mother tongue","          Cebuano",,    6545,,    2500,,    4045,,   19890,,    7930,,   11960,
"Mother tongue","          Fijian",,      80,,      45,,      40,,     745,,     400,,     345,
"Mother tongue","          Hiligaynon",,    2750,,    1030,,    1725,,    6885,,    2680,,    4205,
"Mother tongue","          Ilocano",,   11285,,    4430,,    6860,,   26345,,   10620,,   15720,
"Mother tongue","          Malagasy",,     100,,      45,,      55,,    1430,,     665,,     760,
"Mother tongue","          Malay",,    5760,,    2520,,    3240,,   12275,,    5255,,    7020,
"Mother tongue","          Pampangan (Kapampangan; Pampango)",,    1505,,     670,,     840,,    4040,,    1865,,    2175,
"Mother tongue","          Pangasinan",,     535,,     215,,     315,,    1390,,     590,,     800,
"Mother tongue","          Tagalog (Pilipino; Filipino)",,  163415,,   63665,,   99755,,  431380,,  178575,,  252810,
"Mother tongue","          Waray-Waray",,     405,,     140,,     270,,    1110,,     430,,     675,
"Mother tongue","          Austronesian languages; n.i.e.",,    1400,,     550,,     850,,    4195,,    1770,,    2425,
"Mother tongue","        Creole languages",,   11255,,    5095,,    6165,,   72125,,   32310,,   39820,
"Mother tongue","          Haitian Creole",,     630,,     290,,     340,,    3030,,    1445,,    1590,
"Mother tongue","          Creole; n.o.s.",,    8025,,    3580,,    4440,,   64105,,   28455,,   35660,
"Mother tongue","          Creole languages; n.i.e.",,    2605,,    1225,,    1380,,    4985,,    2410,,    2575,
"Mother tongue","        Dravidian languages",,  148605,,   73530,,   75075,,  189405,,   94765,,   94640,
"Mother tongue","          Kannada",,    2670,,    1365,,    1305,,    3970,,    2040,,    1935,
"Mother tongue","          Malayalam",,   17140,,    8795,,    8350,,   28570,,   14770,,   13800,
"Mother tongue","          Tamil",,  117630,,   57310,,   60320,,  140720,,   69080,,   71640,
"Mother tongue","          Telugu",,   10820,,    5895,,    4925,,   15655,,    8640,,    7020,
"Mother tongue","          Dravidian languages; n.i.e.",,     340,,     165,,     175,,     490,,     240,,     250,
"Mother tongue","        Hmong-Mien languages",,     525,,     250,,     270,,     795,,     395,,     405,
"Mother tongue","        Indo-European languages",, 2024365,,  980200,, 1044165,, 3877330,, 1889400,, 1987930,
"Mother tongue","          Albanian",,   19045,,    9535,,    9510,,   26890,,   13610,,   13285,
"Mother tongue","          Armenian",,   15070,,    7305,,    7765,,   33455,,   16270,,   17185,
"Mother tongue","          Balto-Slavic languages",,  410725,,  188695,,  222025,,  701975,,  323640,,  378340,
"Mother tongue","            Baltic languages",,    9080,,    3785,,    5295,,   12530,,    5315,,    7215,
"Mother tongue","              Latvian",,    3910,,    1650,,    2260,,    5455,,    2350,,    3105,
"Mother tongue","              Lithuanian",,    5175,,    2135,,    3035,,    7075,,    2965,,    4115,
"Mother tongue","            Slavic languages",,  401645,,  184915,,  216730,,  689450,,  318325,,  371115,
"Mother tongue","              Belarusan",,     515,,     230,,     280,,     810,,     385,,     430,
"Mother tongue","              Bosnian",,    6370,,    3125,,    3245,,   12210,,    6035,,    6180,
"Mother tongue","              Bulgarian",,    9095,,    4355,,    4740,,   20025,,    9675,,   10345,
"Mother tongue","              Croatian",,   31875,,   15460,,   16410,,   48200,,   23540,,   24665,
"Mother tongue","              Czech",,   10670,,    4930,,    5740,,   22290,,   10525,,   11765,
"Mother tongue","              Macedonian",,   15635,,    7470,,    8165,,   16775,,    8050,,    8725,
"Mother tongue","              Polish",,  121075,,   54675,,   66405,,  181710,,   82435,,   99275,
"Mother tongue","              Russian",,  101100,,   45630,,   55470,,  188255,,   85400,,  102855,
"Mother tongue","              Serbian",,   41740,,   20585,,   21150,,   57350,,   28535,,   28815,
"Mother tongue","              Serbo-Croatian",,    4875,,    2310,,    2570,,    9555,,    4565,,    4985,
"Mother tongue","              Slovak",,   10280,,    4710,,    5565,,   17580,,    8075,,    9510,
"Mother tongue","              Slovene (Slovenian)",,    6740,,    2995,,    3745,,    9790,,    4415,,    5370,
"Mother tongue","              Ukrainian",,   40375,,   17760,,   22610,,  102485,,   45440,,   57040,
"Mother tongue","              Slavic languages; n.i.e.",,    1310,,     670,,     635,,    2415,,    1255,,    1165,
"Mother tongue","          Celtic languages",,    1110,,     505,,     605,,    2690,,    1335,,    1360,
"Mother tongue","            Scottish Gaelic",,     450,,     210,,     240,,    1090,,     540,,     550,
"Mother tongue","            Welsh",,     435,,     180,,     260,,    1075,,     495,,     575,
"Mother tongue","            Celtic languages; n.i.e.",,     225,,     120,,     110,,     530,,     295,,     235,
"Mother tongue","          Germanic languages",,  200640,,   94475,,  106165,,  538765,,  258410,,  280350,
"Mother tongue","            Afrikaans",,    2295,,    1125,,    1170,,   10265,,    5115,,    5145,
"Mother tongue","            Danish",,    4265,,    2010,,    2250,,   12630,,    6245,,    6390,
"Mother tongue","            Dutch",,   51720,,   24875,,   26840,,   99020,,   48200,,   50820,
"Mother tongue","            Frisian",,    1240,,     630,,     620,,    2100,,    1095,,    1005,
"Mother tongue","            German",,  131525,,   61520,,   70005,,  384035,,  183215,,  200820,
"Mother tongue","            Icelandic",,     210,,     100,,     110,,    1285,,     600,,     685,
"Mother tongue","            Norwegian",,     940,,     405,,     540,,    4615,,    2170,,    2445,
"Mother tongue","            Swedish",,    2395,,    1040,,    1350,,    6840,,    3015,,    3825,
"Mother tongue","            Vlaams (Flemish)",,    2150,,     925,,    1225,,    3895,,    1730,,    2165,
"Mother tongue","            Yiddish",,    3735,,    1765,,    1970,,   13555,,    6750,,    6800,
"Mother tongue","            Germanic languages; n.i.e.",,     170,,      80,,      85,,     525,,     280,,     240,
"Mother tongue","          Greek",,   55415,,   27305,,   28110,,  106525,,   53350,,   53170,
"Mother tongue","          Indo-Iranian languages",,  707845,,  357350,,  350495,, 1312750,,  664120,,  648630,
"Mother tongue","            Indo-Aryan languages",,  565600,,  285720,,  279875,, 1064760,,  538530,,  526235,
"Mother tongue","              Bengali",,   46810,,   23615,,   23195,,   73125,,   37410,,   35720,
"Mother tongue","              Gujarati",,   76675,,   38740,,   37940,,  108780,,   55105,,   53670,
"Mother tongue","              Hindi",,   58735,,   29805,,   28930,,  110640,,   55880,,   54765,
"Mother tongue","              Kashmiri",,     345,,     170,,     175,,     565,,     300,,     265,
"Mother tongue","              Konkani",,    2510,,    1195,,    1315,,    3330,,    1625,,    1710,
"Mother tongue","              Marathi",,    5490,,    2805,,    2685,,    8295,,    4300,,    3995,
"Mother tongue","              Nepali",,    7870,,    3915,,    3960,,   18275,,    9230,,    9045,
